,school,sex,age,address,famsize,Mjob,Fjob,reason,traveltime,studytime,failures,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
29,SS,M,26,U,GT3,teacher,teacher,home,1,2,0,yes,yes,4,4,5,5,5,5,16,B0,B0,B0
30,SS,M,25,U,GT3,health,services,home,1,2,0,yes,no,5,4,2,3,4,5,0,C+,B0,B0
31,SS,M,25,U,GT3,services,services,reputation,2,2,0,yes,no,4,3,1,1,1,5,0,A0,A0,A0
32,SS,M,25,R,GT3,teacher,at_home,course,1,2,0,yes,yes,4,5,2,1,1,5,0,A0,A0,A0
33,SS,M,25,U,LE3,other,other,course,1,2,0,yes,no,5,3,2,1,1,2,0,C+,B0,B0
34,SS,M,26,U,GT3,other,other,home,1,1,0,yes,no,5,4,3,1,1,5,0,B0,B+,B+
35,SS,F,25,U,GT3,other,other,other,2,1,0,yes,no,3,5,1,1,1,5,0,C+,C+,C0
36,SS,M,25,U,LE3,teacher,services,home,1,3,0,yes,no,5,4,3,1,1,4,2,B+,A0,A+
37,SS,M,26,R,GT3,other,teacher,reputation,2,3,0,yes,yes,2,4,3,1,1,5,7,B+,A0,B+
38,SS,F,25,R,GT3,services,health,course,1,3,0,yes,no,4,3,2,1,1,5,2,B0,B0,B0
39,SS,F,25,R,GT3,at_home,other,reputation,1,1,0,yes,no,4,3,1,1,1,2,8,B+,B+,B+
40,SS,F,26,U,LE3,other,other,home,2,2,1,yes,yes,3,3,3,1,2,3,25,C+,B0,B0
41,SS,M,25,U,LE3,teacher,other,home,1,1,0,yes,yes,5,4,3,2,4,5,8,B0,B0,B0
42,SS,M,25,U,GT3,services,teacher,course,1,2,0,yes,no,4,3,3,1,1,5,2,A+,A+,A+
43,SS,M,25,U,GT3,services,services,course,1,1,0,yes,no,5,4,1,1,1,1,0,C+,C+,B0
44,SS,F,26,U,LE3,other,at_home,course,2,2,1,yes,no,4,3,3,2,2,5,14,B0,B0,C+
45,SS,F,25,U,LE3,other,other,course,1,2,0,yes,yes,5,2,2,1,1,5,8,C+,C+,C0
46,SS,F,26,U,LE3,other,services,home,1,2,0,yes,no,2,3,5,1,4,3,12,B0,B0,B0
47,SS,M,26,U,GT3,health,services,reputation,1,4,0,yes,no,4,2,2,1,1,2,4,A+,A+,A+
48,SS,M,25,U,GT3,teacher,other,home,1,2,0,yes,no,4,3,3,2,2,5,2,B+,B+,B+
49,SS,F,25,U,GT3,services,teacher,other,1,2,1,yes,no,4,4,4,1,1,3,2,C+,C+,C+
50,SS,F,26,U,LE3,services,services,course,3,2,0,yes,no,4,3,3,2,3,4,2,B0,B+,B+
51,SS,F,25,U,LE3,health,other,other,1,2,0,yes,no,4,3,3,1,1,5,2,B0,B+,B+
52,SS,M,25,U,LE3,health,health,other,2,1,1,yes,no,5,5,5,3,4,5,6,B0,B0,B0
53,SS,F,25,U,GT3,services,services,course,1,1,0,yes,no,3,3,4,2,3,5,0,C+,B0,B0
54,SS,F,25,U,LE3,other,other,other,1,1,0,yes,no,5,3,4,4,4,1,6,B0,B+,B+
55,SS,F,26,U,GT3,other,other,other,1,2,0,yes,yes,5,3,4,1,1,2,8,C+,C+,B0
56,SS,F,25,U,GT3,services,services,reputation,1,2,0,yes,no,4,3,2,1,1,1,0,B+,B+,B+
57,SS,M,25,U,GT3,teacher,health,reputation,1,2,0,yes,no,3,2,2,1,1,5,4,B+,B+,B+
58,SS,M,25,U,LE3,other,at_home,home,1,2,0,yes,no,4,3,2,1,1,5,2,C+,B0,C+
59,SS,F,26,U,GT3,services,other,course,1,2,0,yes,no,4,2,3,1,1,5,2,B+,A0,A0
60,SS,F,26,R,GT3,health,teacher,other,1,2,0,yes,no,2,4,4,2,3,4,6,B0,B0,B0
61,SS,F,26,U,GT3,services,services,course,4,1,0,yes,yes,5,5,5,5,5,5,6,B0,C+,B0
62,SS,F,26,U,LE3,other,services,reputation,1,2,0,yes,no,4,4,3,1,1,1,4,C+,B0,C+
63,SS,F,26,U,GT3,teacher,health,home,1,3,0,yes,no,3,4,4,2,4,4,2,B0,C+,C+
64,SS,F,25,U,LE3,services,services,reputation,1,2,0,yes,yes,4,4,4,2,4,2,0,B0,B0,B0
65,SS,F,26,U,LE3,teacher,services,course,3,2,0,yes,no,5,4,3,1,2,1,2,A0,B+,B+
66,SS,M,25,U,GT3,other,services,reputation,1,4,0,yes,yes,1,3,3,5,5,3,4,B+,B+,B0
67,SS,F,26,U,GT3,services,other,course,1,4,0,yes,no,4,3,3,1,2,5,4,C+,C+,C0
68,SS,F,25,R,LE3,health,services,reputation,2,2,0,yes,no,4,1,3,1,3,4,2,C+,C+,C+
69,SS,F,25,R,LE3,other,other,reputation,2,4,0,yes,no,4,4,2,2,3,3,12,A0,A0,A0
70,SS,M,26,U,GT3,other,other,reputation,2,4,0,yes,no,4,3,2,1,1,5,0,B+,B+,B+
71,SS,M,25,U,GT3,other,other,course,1,4,0,yes,no,3,3,3,1,1,3,0,B0,B0,B0
72,SS,F,25,R,GT3,other,other,reputation,1,2,2,yes,yes,3,3,4,2,4,5,2,C+,C0,C0
73,SS,M,26,U,GT3,other,other,reputation,1,1,0,yes,no,5,3,2,2,2,5,2,B0,B0,B+
74,SS,F,26,U,GT3,other,services,home,1,2,0,yes,no,4,3,3,2,4,5,54,B0,B0,B0
75,SS,M,25,U,GT3,teacher,other,home,1,2,0,yes,no,4,3,3,2,3,5,6,C+,C+,B0
76,SS,M,25,U,GT3,teacher,other,course,2,4,0,yes,no,3,4,3,1,1,1,8,B0,B0,B0
77,SS,F,26,U,GT3,other,other,reputation,1,4,0,yes,yes,5,2,3,1,3,3,0,B0,B0,B0
78,SS,M,27,U,GT3,other,other,home,2,1,3,yes,no,4,5,1,1,1,3,2,C+,C+,B0
79,SS,F,26,U,GT3,at_home,other,course,1,2,0,yes,no,2,4,3,1,2,3,12,C0,C0,C0
80,SS,M,25,U,GT3,other,services,course,1,1,0,yes,yes,3,2,2,1,3,3,2,B0,B0,B0
81,SS,M,25,U,GT3,other,other,home,1,3,0,yes,no,5,3,2,1,2,5,4,B0,B0,B0
82,SS,F,25,U,LE3,services,other,reputation,1,2,0,yes,no,4,4,4,1,1,5,10,C+,C0,C0
83,SS,M,25,U,LE3,services,services,home,2,2,0,yes,no,5,3,3,1,3,4,4,B+,B+,B+
84,SS,F,25,U,GT3,other,other,home,1,2,0,yes,no,4,3,2,2,3,4,2,C+,B0,B0
85,SS,F,25,U,GT3,services,services,reputation,2,2,2,yes,yes,4,4,4,2,3,5,6,C+,C+,C+
86,SS,F,26,U,LE3,at_home,other,course,1,2,0,yes,no,4,3,4,1,2,2,4,C+,C+,C0
87,SS,F,25,U,GT3,other,other,reputation,1,3,0,yes,no,5,3,3,1,3,1,4,B+,B+,B+
88,SS,M,26,U,GT3,services,other,reputation,2,2,1,yes,no,4,4,2,1,1,3,12,B0,B0,B0
89,SS,M,26,U,LE3,teacher,health,reputation,1,2,0,yes,no,4,1,3,3,5,5,18,C+,C0,C+
90,SS,F,26,U,GT3,other,other,home,1,3,0,yes,yes,4,3,3,1,3,4,0,C+,C+,C+
91,SS,F,25,U,GT3,services,other,reputation,1,1,0,yes,no,4,5,5,1,3,1,4,A0,A0,A+
92,SS,F,26,U,LE3,other,other,home,1,2,0,yes,no,3,3,3,2,3,2,4,C+,C0,C0
93,SS,F,26,U,GT3,teacher,services,home,2,2,0,yes,no,5,3,3,1,1,1,0,B0,B0,B0
94,SS,M,25,U,LE3,services,health,reputation,1,4,0,yes,no,4,3,4,1,1,4,6,B0,B+,B+
95,SS,F,25,R,GT3,at_home,other,home,2,4,1,yes,no,3,1,2,1,1,1,2,C+,B0,B0
96,SS,M,26,R,GT3,services,other,reputation,2,1,0,yes,no,3,3,3,1,1,4,2,B0,B+,B+
97,SS,F,26,U,GT3,other,other,course,1,2,0,yes,yes,4,3,5,1,1,5,2,C+,C+,B0
98,SS,F,26,U,GT3,other,other,reputation,1,1,0,yes,no,5,3,4,1,2,1,6,B0,B+,B+
99,SS,F,26,U,GT3,other,at_home,course,1,3,0,yes,no,5,3,5,1,1,3,0,C+,C+,C+
100,SS,M,26,U,GT3,services,services,other,1,1,0,yes,no,4,5,5,5,5,4,14,C+,C+,C0
101,SS,M,26,U,GT3,services,teacher,other,1,3,0,yes,yes,4,4,3,1,1,4,0,A0,A0,A0
102,SS,M,25,U,GT3,services,other,course,1,1,0,yes,no,5,3,3,1,1,5,4,B0,B+,B+
103,SS,F,25,U,GT3,services,other,home,2,2,0,yes,no,4,3,5,1,1,2,26,C+,C0,C0
104,SS,M,25,U,GT3,services,other,course,1,2,0,yes,no,5,4,4,1,1,1,0,A0,A+,A+
105,SS,F,25,U,GT3,other,health,reputation,1,4,0,yes,no,4,3,3,1,1,4,10,B0,B0,B0
106,SS,F,25,U,GT3,other,other,course,1,4,0,yes,no,5,1,2,1,1,3,8,C+,C+,C+
107,SS,M,26,U,GT3,services,other,home,1,3,0,yes,no,5,3,3,1,1,5,2,A0,A+,A+
108,SS,M,25,R,GT3,other,other,home,4,4,0,yes,yes,1,3,5,3,5,1,6,B0,B+,B+
109,SS,F,26,U,LE3,health,health,other,1,3,0,yes,yes,5,4,5,1,1,4,4,B+,B+,A0
110,SS,M,25,U,LE3,teacher,teacher,course,1,1,0,yes,no,5,5,3,1,1,4,6,A+,A+,A+
111,SS,F,26,R,GT3,services,other,reputation,1,3,1,yes,no,4,1,2,1,1,2,0,C+,B0,B0
112,SS,F,26,U,GT3,at_home,other,home,1,2,1,yes,no,3,1,2,1,1,5,6,B0,B+,B+
113,SS,M,25,U,LE3,teacher,other,course,1,1,0,yes,no,3,5,2,1,1,3,10,A+,A+,A+
114,SS,M,25,R,GT3,health,services,reputation,1,2,0,yes,yes,5,4,2,1,1,5,8,C+,C+,C+
115,SS,M,26,U,GT3,teacher,teacher,course,1,2,0,yes,no,5,4,4,1,2,5,2,B+,B+,A0
116,SS,M,25,U,GT3,other,teacher,reputation,2,2,0,yes,no,4,4,3,1,1,2,2,B0,B+,B+
117,SS,M,26,U,GT3,other,services,home,2,1,0,yes,no,5,4,2,1,1,5,0,B+,B+,B+
118,SS,M,27,R,GT3,other,other,course,3,2,1,yes,no,5,2,4,1,4,5,20,C+,C+,C+
119,SS,M,25,U,GT3,other,other,reputation,1,1,0,yes,no,3,4,3,1,2,4,6,B+,B+,B+
120,SS,F,25,U,GT3,at_home,services,course,1,2,0,yes,no,3,2,3,1,2,1,2,A0,B+,B+
121,SS,M,25,U,GT3,services,services,home,1,4,0,yes,no,5,5,4,1,2,5,6,A0,B+,B+
122,SS,F,26,U,LE3,other,health,course,2,2,0,yes,yes,4,2,2,1,2,5,2,B+,B+,B+
123,SS,M,26,U,GT3,health,other,course,1,1,0,yes,no,3,4,4,1,4,5,18,B+,B0,B+
124,SS,F,26,U,GT3,other,other,home,1,2,0,yes,yes,5,4,4,1,1,5,0,C+,C+,C+
125,SS,M,25,U,GT3,services,services,home,1,1,0,yes,no,5,5,5,3,2,5,0,B+,B+,B0
126,SS,F,25,U,LE3,other,other,home,1,2,0,yes,yes,5,3,2,1,1,1,0,C+,B0,B0
127,SS,F,23,U,GT3,at_home,other,course,1,2,3,yes,no,3,4,2,1,1,5,2,C+,C+,C+
128,SS,M,22,R,GT3,services,other,reputation,1,1,2,yes,no,3,3,3,1,2,4,0,C+,D+,D0
129,SS,M,26,R,GT3,teacher,teacher,course,1,1,0,yes,no,3,5,5,2,5,4,8,A+,A+,A+
130,SS,F,25,R,GT3,services,teacher,course,2,3,2,yes,yes,4,2,2,2,2,5,0,B0,D0,D0
131,SS,F,25,U,GT3,at_home,other,course,3,1,0,yes,yes,4,3,3,1,2,4,0,C+,D0,D0
132,SS,F,27,U,LE3,other,other,course,1,1,0,yes,yes,3,4,4,1,3,5,12,B0,B+,B0
133,SS,F,26,U,GT3,services,other,course,1,1,0,yes,no,3,2,1,1,4,5,16,B0,B0,B0
134,SS,M,25,R,GT3,at_home,teacher,course,4,2,0,yes,yes,5,3,3,1,1,5,0,C+,D0,D0
135,SS,F,25,U,GT3,services,at_home,course,1,3,0,yes,yes,4,3,3,1,1,5,0,B0,D0,D0
136,SS,M,27,R,GT3,at_home,other,course,3,2,0,yes,no,5,4,5,2,4,5,0,B0,D0,D0
137,SS,F,26,U,GT3,other,other,course,2,1,2,yes,yes,4,3,2,1,1,5,0,D+,D0,D0
138,SS,M,26,U,LE3,services,other,course,1,2,1,yes,yes,4,4,4,1,3,5,0,B+,B0,B0
139,SS,F,25,U,GT3,teacher,teacher,course,2,1,0,yes,no,4,3,2,1,1,5,0,A0,A0,B+
140,SS,M,25,U,GT3,teacher,services,course,2,4,0,yes,no,2,2,2,1,1,3,0,C+,C+,D0
141,SS,M,26,U,LE3,services,services,reputation,2,1,2,yes,no,2,3,3,2,2,2,8,C+,C+,C+
142,SS,F,25,U,GT3,teacher,services,course,1,3,0,yes,no,4,2,2,1,1,5,2,C+,B0,B0
143,SS,F,26,U,LE3,at_home,at_home,course,1,1,0,yes,no,3,4,4,3,3,1,2,B+,B+,B+
144,SS,M,27,U,GT3,other,other,home,1,1,3,yes,no,5,4,5,1,2,5,0,C0,D0,D0
145,SS,F,25,U,GT3,other,services,course,1,2,0,yes,no,4,4,2,1,2,5,0,C+,B0,B0
146,SS,F,25,U,GT3,health,services,home,1,2,3,yes,no,3,3,2,1,1,3,0,C0,C+,D0
147,SS,F,25,U,GT3,at_home,other,course,1,2,0,yes,no,4,3,2,1,1,5,2,B0,B0,B0
148,SS,M,26,U,GT3,teacher,teacher,course,1,1,0,yes,yes,3,3,2,2,1,5,0,C+,C0,D0
149,SS,M,25,U,LE3,services,other,course,4,1,3,yes,no,4,5,5,2,5,5,0,C+,C+,B0
150,SS,M,22,U,LE3,other,other,course,1,1,3,yes,yes,2,3,5,2,5,4,0,C0,C0,D0
151,SS,M,26,U,LE3,at_home,other,course,1,1,1,yes,yes,4,4,4,3,5,5,6,B0,B+,B+
152,SS,F,25,R,GT3,services,services,reputation,2,3,2,yes,yes,4,2,1,2,3,3,8,B0,B0,B0
153,SS,M,23,U,GT3,services,at_home,home,1,1,3,yes,yes,4,5,4,1,1,4,0,C0,D0,D0
154,SS,F,27,U,GT3,other,teacher,course,1,1,0,yes,yes,4,2,1,1,1,4,0,B0,B0,B0
155,SS,M,25,R,GT3,at_home,services,course,1,2,0,yes,no,4,4,4,1,1,1,2,B0,C+,C+
156,SS,M,27,R,LE3,other,other,reputation,1,1,0,yes,no,2,2,2,3,3,5,8,A0,B0,B+
157,SS,F,22,R,GT3,at_home,other,course,3,1,3,yes,no,5,2,5,1,5,4,6,C+,C+,B0
158,SS,M,26,R,GT3,at_home,other,course,3,1,0,yes,no,4,2,2,1,2,3,2,A0,B+,B+
159,SS,M,26,U,GT3,other,services,course,1,2,1,yes,yes,4,5,5,4,4,5,4,B0,B0,B0
160,SS,M,27,R,LE3,at_home,other,course,2,1,2,yes,yes,3,3,2,2,2,5,0,C+,C0,D0
161,SS,M,25,R,GT3,other,other,course,2,2,2,yes,yes,4,4,4,1,4,3,6,C0,C+,C+
162,SS,M,26,U,LE3,other,other,course,2,1,1,yes,no,4,4,4,2,4,5,0,C+,D0,D0
163,SS,M,27,U,GT3,at_home,services,course,1,1,0,yes,no,5,3,3,1,4,2,2,B0,B0,B0
164,SS,M,27,R,LE3,other,services,course,4,2,3,yes,yes,5,3,5,1,5,5,0,C0,C+,C+
165,SS,M,26,U,GT3,services,services,course,2,1,1,yes,no,4,5,2,1,1,2,16,B0,B0,B0
166,SS,M,26,U,GT3,other,other,course,1,2,0,yes,no,4,3,5,2,4,4,4,B0,B0,B0
167,SS,F,26,U,GT3,health,services,home,1,2,0,yes,yes,4,2,3,1,1,3,0,B+,B+,A0
168,SS,F,26,U,GT3,other,other,home,1,2,0,yes,no,5,1,5,1,1,4,0,C0,C+,D0
169,SS,F,26,U,GT3,health,health,reputation,1,2,0,yes,yes,4,4,2,1,1,3,0,B+,B+,B+
170,SS,M,26,U,GT3,other,other,course,3,1,2,yes,no,3,4,5,2,4,2,0,C0,C0,D0
171,SS,M,26,U,GT3,other,other,reputation,2,2,0,yes,yes,4,3,2,1,1,3,2,B+,B+,A0
172,SS,M,27,U,LE3,teacher,other,reputation,1,2,0,yes,no,4,4,4,1,3,5,0,B+,B0,B0
173,SS,F,26,U,GT3,at_home,services,home,1,2,3,yes,yes,4,3,5,1,1,3,0,C+,C+,D0
174,SS,F,26,U,LE3,other,other,reputation,2,2,0,yes,no,4,4,5,1,1,4,4,B0,B0,C+
175,SS,M,27,U,LE3,teacher,other,course,2,2,0,yes,no,4,4,4,4,4,4,4,B0,C+,C+
176,SS,F,26,U,GT3,services,other,reputation,2,2,0,yes,no,3,4,4,1,4,5,2,B+,B+,B0
177,SS,M,27,U,GT3,other,other,reputation,1,2,0,yes,no,4,3,4,1,4,4,4,C0,C0,C0
178,SS,M,26,R,GT3,teacher,services,other,1,1,0,yes,yes,4,3,3,3,4,3,10,B0,C+,C+
179,SS,M,27,U,GT3,other,other,course,1,2,0,yes,yes,5,2,3,1,1,2,4,B0,B0,B0
180,SS,M,26,U,GT3,teacher,other,home,1,2,0,yes,no,3,4,3,2,3,3,10,C+,C+,C+
181,SS,M,26,U,GT3,services,other,home,1,2,0,yes,yes,4,2,3,1,2,3,2,B0,B+,B0
182,SS,F,27,U,GT3,services,services,reputation,1,2,0,yes,no,5,4,2,2,3,5,0,A0,A0,A0
183,SS,F,27,U,LE3,other,other,reputation,1,2,0,yes,yes,5,3,3,2,3,1,56,C+,C+,C+
184,SS,F,26,U,GT3,other,other,reputation,1,2,0,yes,no,1,2,2,1,2,1,14,B0,B+,B0
185,SS,M,27,U,GT3,services,services,other,1,2,0,yes,yes,4,3,4,2,3,4,12,B0,B0,B0
186,SS,M,26,U,GT3,services,services,other,1,1,0,yes,yes,3,3,3,1,2,3,2,B0,B0,B0
187,SS,M,26,U,LE3,other,other,course,1,2,0,yes,yes,4,2,3,1,2,5,0,B+,B+,B+
188,SS,F,27,U,GT3,health,other,reputation,1,2,0,yes,yes,3,3,3,1,3,3,6,C+,C+,C+
189,SS,M,27,R,GT3,at_home,other,home,1,2,0,yes,no,3,1,3,1,5,3,4,C+,C+,B0
190,SS,F,26,U,GT3,services,services,course,1,2,0,yes,no,4,3,3,1,1,2,10,B0,B0,B+
191,SS,F,27,U,GT3,at_home,services,course,1,2,0,yes,no,5,3,3,1,1,3,0,C+,C+,C+
192,SS,M,27,U,GT3,at_home,services,other,2,2,0,yes,no,4,4,4,4,5,5,12,C+,C+,C+
193,SS,M,26,R,GT3,services,services,reputation,1,1,0,yes,no,4,3,2,3,4,5,8,C+,C+,B0
194,SS,M,26,U,GT3,other,other,home,2,1,0,yes,no,5,3,3,1,1,3,0,B+,B+,B+
195,SS,F,27,U,LE3,services,services,course,1,2,0,yes,yes,4,3,2,1,1,5,0,B+,B+,B+
196,SS,M,27,U,GT3,services,teacher,home,1,1,0,yes,no,5,2,3,1,2,5,4,A0,B+,A0
197,SS,M,26,R,LE3,teacher,other,home,3,1,0,yes,no,3,3,4,3,5,3,8,C+,C+,B0
198,SS,F,27,U,GT3,services,teacher,home,2,1,1,yes,no,4,2,4,2,3,2,24,A+,A+,A+
199,SS,F,26,U,LE3,teacher,teacher,reputation,1,2,0,yes,no,4,5,2,1,2,3,0,C+,C+,B0
200,SS,F,26,U,GT3,health,other,home,1,2,0,yes,no,4,3,5,1,5,2,2,A0,A0,A0
201,SS,F,26,U,GT3,other,other,reputation,1,2,0,yes,no,4,4,3,1,3,4,6,C+,B0,B0
202,SS,F,27,U,GT3,other,other,course,1,2,0,yes,no,4,4,4,1,3,1,4,C+,C+,B0
203,SS,F,27,R,GT3,other,other,reputation,1,1,0,yes,no,5,3,2,1,2,3,18,C+,C0,C0
204,SS,F,26,R,GT3,services,services,reputation,2,4,0,yes,no,5,3,5,1,1,5,6,B0,B0,B0
205,SS,F,27,U,GT3,at_home,services,home,1,3,1,yes,yes,4,4,3,3,4,5,28,B0,C+,C+
206,SS,F,26,U,GT3,services,other,course,1,2,3,yes,no,2,3,3,2,2,4,5,C+,C+,C+
207,SS,F,26,U,GT3,teacher,other,other,1,2,0,yes,yes,1,3,2,1,1,1,10,B0,B0,B+
208,SS,F,26,U,GT3,at_home,other,home,2,1,0,yes,no,4,3,2,1,4,5,6,C+,C+,B0
209,SS,F,27,R,GT3,teacher,other,reputation,2,3,0,yes,yes,4,4,2,1,1,4,6,C+,C+,C+
210,SS,F,23,U,GT3,other,other,reputation,1,4,0,yes,no,4,3,3,1,2,3,10,C+,C+,C+
211,SS,M,27,U,LE3,services,other,home,1,2,0,yes,yes,5,3,5,4,5,3,13,B0,B0,B+
212,SS,F,26,U,GT3,other,other,reputation,1,2,0,yes,no,3,3,4,1,1,4,0,B0,B+,B+
213,SS,M,22,U,GT3,services,other,home,1,2,1,yes,no,4,4,4,2,4,5,15,C0,C+,C+
214,SS,F,27,R,LE3,services,other,other,1,1,0,yes,no,5,2,1,1,2,3,12,C+,B0,B0
215,SS,F,27,U,LE3,other,other,reputation,2,2,0,yes,no,4,4,4,1,3,1,2,B+,B+,B+
216,SS,F,27,U,GT3,other,other,reputation,1,2,2,yes,yes,3,4,5,2,4,1,22,C0,C0,D+
217,SS,M,22,U,LE3,services,health,home,1,2,1,yes,no,3,2,4,2,4,4,13,C0,C0,C+
218,SS,F,27,U,GT3,at_home,other,home,2,1,0,yes,no,3,3,3,1,4,3,3,C+,C+,C+
219,SS,F,27,U,GT3,at_home,at_home,course,1,3,0,yes,no,4,3,3,1,1,4,4,C+,B0,B0
220,SS,F,27,R,GT3,at_home,services,reputation,2,2,0,yes,no,4,2,5,1,2,5,2,C0,C0,C0
221,SS,F,27,U,GT3,at_home,other,reputation,1,3,1,yes,yes,4,3,4,1,1,5,0,C0,C0,D0
222,SS,F,26,U,GT3,services,teacher,other,1,2,0,yes,no,2,3,1,1,1,3,2,A0,A0,A0
223,SS,M,22,U,GT3,other,other,home,2,2,0,yes,no,3,3,3,5,5,4,0,B0,B+,B+
224,SS,F,26,U,GT3,teacher,services,home,1,3,0,yes,no,5,3,2,1,1,5,0,B+,B+,B+
225,SS,F,22,R,GT3,other,other,reputation,1,2,1,yes,yes,5,3,3,1,1,4,16,C+,C+,C+
226,SS,F,27,U,GT3,other,other,course,1,2,0,yes,no,5,3,4,1,3,3,10,A0,B+,B+
227,SS,M,27,U,LE3,services,services,reputation,1,2,0,yes,no,5,3,3,1,3,3,2,B0,B0,B0
228,SS,M,22,U,LE3,at_home,other,course,4,2,0,yes,yes,4,3,2,4,5,3,14,B0,C+,C+
229,SS,F,27,U,GT3,other,other,course,2,3,0,yes,yes,3,2,3,1,2,3,10,B0,B0,B0
230,SS,F,27,U,LE3,health,other,reputation,1,2,0,yes,yes,3,2,3,1,2,3,14,B+,B+,B+
231,SS,M,27,R,GT3,other,other,course,2,2,0,yes,no,4,5,2,1,1,1,4,B0,B0,B0
232,SS,M,27,U,GT3,teacher,teacher,reputation,1,2,0,yes,yes,4,5,5,1,3,2,14,B0,C+,C+
233,SS,M,26,U,GT3,health,other,reputation,1,2,0,yes,no,4,2,4,2,4,1,2,B+,B+,B+
234,SS,M,26,U,LE3,other,other,home,2,2,0,yes,no,3,4,2,1,1,5,18,C+,C+,C0
235,SS,M,26,U,GT3,at_home,other,reputation,2,3,0,yes,yes,5,3,3,1,3,2,10,B0,C+,B0
236,SS,M,27,U,LE3,other,other,home,1,2,0,yes,yes,4,4,2,5,5,4,4,B+,B+,B+
237,SS,F,26,U,GT3,other,other,home,1,1,0,yes,yes,4,5,2,1,1,5,20,B+,B0,B0
238,SS,F,27,R,GT3,at_home,services,course,3,2,0,yes,no,2,1,1,1,1,3,2,B+,B0,B0
239,SS,M,22,U,GT3,other,services,reputation,1,2,1,yes,no,5,5,4,3,5,2,0,C+,C+,D0
240,SS,M,27,U,LE3,health,other,course,2,2,0,yes,yes,2,5,5,1,4,5,14,B0,B0,B0
241,SS,M,27,R,LE3,teacher,other,course,2,2,0,yes,no,3,3,3,2,3,4,2,B0,B0,B0
242,SS,M,26,U,LE3,teacher,other,course,1,1,0,yes,no,5,4,5,1,1,3,0,C0,D0,D0
243,SS,M,26,U,GT3,services,services,course,1,1,0,yes,no,5,3,2,1,2,5,0,B+,B0,B0
